primary,alternates,catalogs,common_name,match_type,notes
M1,NGC 1952,Messier | NGC,,official_correspondence,Correspondance officielle Messier-NGC
M63,UGC 6300,Messier | UGC,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
M63,PGC 5055,Messier | PGC,Galaxie du Tournesol,coordinate_match,Distance: 0.0470°
Sh2-146,UGC 6300,Sharpless | UGC,NGC 5055,coordinate_match,Distance: 0.0000°
Sh2-146,PGC 5055,Sharpless | PGC,NGC 5055,coordinate_match,Distance: 0.0000°
Sh2-144,UGC 6100,Sharpless | UGC,NGC 4826,coordinate_match,Distance: 0.0000°
Sh2-144,PGC 4826,Sharpless | PGC,NGC 4826,coordinate_match,Distance: 0.0000°
M66,Sh2-125,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M66,UGC 4500,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M66,PGC 3627,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-124,UGC 4400,Sharpless | UGC,NGC 3623,coordinate_match,Distance: 0.0000°
Sh2-124,PGC 3623,Sharpless | PGC,NGC 3623,coordinate_match,Distance: 0.0000°
Sh2-125,UGC 4500,Sharpless | UGC,NGC 3627,coordinate_match,Distance: 0.0000°
Sh2-125,PGC 3627,Sharpless | PGC,NGC 3627,coordinate_match,Distance: 0.0000°
M67,Sh2-57,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-207,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-236,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,Sh2-310,Messier | Sharpless,Amas ouvert,coordinate_match,Distance: 0.0000°
M67,UGC 3600,Messier | UGC,Amas ouvert,coordinate_match,Distance: 0.0000°
Sh2-57,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-207,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-236,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
Sh2-310,UGC 3600,Sharpless | UGC,NGC 2682,coordinate_match,Distance: 0.0000°
M69,Sh2-32,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0520°
M69,Sh2-174,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0520°
M71,Sh2-38,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M71,Sh2-183,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
M73,Sh2-41,Messier | Sharpless,Astérisme,coordinate_match,Distance: 0.0000°
M73,Sh2-187,Messier | Sharpless,Astérisme,coordinate_match,Distance: 0.0000°
M74,C62,Messier | Caldwell,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-82,UGC 400,Sharpless | UGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-82,PGC 628,Sharpless | PGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-261,UGC 400,Sharpless | UGC,NGC 628,coordinate_match,Distance: 0.0000°
Sh2-261,PGC 628,Sharpless | PGC,NGC 628,coordinate_match,Distance: 0.0000°
M76,Sh2-66,Messier | Sharpless,Petite Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0774°
M76,Sh2-245,Messier | Sharpless,Petite Nébuleuse de l'Haltère,coordinate_match,Distance: 0.0774°
Sh2-116,UGC 800,Sharpless | UGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-116,PGC 1068,Sharpless | PGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-295,UGC 800,Sharpless | UGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-295,PGC 1068,Sharpless | PGC,NGC 1068,coordinate_match,Distance: 0.0000°
Sh2-53,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-197,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-226,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-300,UGC 2900,Sharpless | UGC,NGC 2068,coordinate_match,Distance: 0.0000°
Sh2-70,UGC 2500,Sharpless | UGC,NGC 1904,coordinate_match,Distance: 0.0000°
Sh2-220,UGC 2500,Sharpless | UGC,NGC 1904,coordinate_match,Distance: 0.0000°
M80,Sh2-153,Messier | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0580°
M81,Sh2-117,Messier | Sharpless,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M81,UGC 3700,Messier | UGC,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M81,PGC 3031,Messier | PGC,Galaxie de Bode,coordinate_match,Distance: 0.0445°
M82,Sh2-118,Messier | Sharpless,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
M82,UGC 3800,Messier | UGC,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
M82,PGC 3034,Messier | PGC,Galaxie du Cigare,coordinate_match,Distance: 0.0432°
Sh2-117,UGC 3700,Sharpless | UGC,NGC 3031,coordinate_match,Distance: 0.0000°
Sh2-117,PGC 3031,Sharpless | PGC,NGC 3031,coordinate_match,Distance: 0.0000°
Sh2-118,UGC 3800,Sharpless | UGC,NGC 3034,coordinate_match,Distance: 0.0000°
Sh2-118,PGC 3034,Sharpless | PGC,NGC 3034,coordinate_match,Distance: 0.0000°
Sh2-148,UGC 6500,Sharpless | UGC,NGC 5236,coordinate_match,Distance: 0.0000°
Sh2-148,PGC 5236,Sharpless | PGC,NGC 5236,coordinate_match,Distance: 0.0000°
Sh2-131,UGC 4900,Sharpless | UGC,NGC 4382,coordinate_match,Distance: 0.0000°
Sh2-131,PGC 4382,Sharpless | PGC,NGC 4382,coordinate_match,Distance: 0.0000°
M92,UGC 7000,Messier | UGC,Amas globulaire,coordinate_match,Distance: 0.0000°
Sh2-47,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-204,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-233,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-307,UGC 3400,Sharpless | UGC,NGC 2447,coordinate_match,Distance: 0.0000°
Sh2-143,UGC 6000,Sharpless | UGC,NGC 4736,coordinate_match,Distance: 0.0000°
Sh2-143,PGC 4736,Sharpless | PGC,NGC 4736,coordinate_match,Distance: 0.0000°
M96,Sh2-120,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M96,UGC 4200,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M96,PGC 3368,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-120,UGC 4200,Sharpless | UGC,NGC 3368,coordinate_match,Distance: 0.0000°
Sh2-120,PGC 3368,Sharpless | PGC,NGC 3368,coordinate_match,Distance: 0.0000°
Sh2-121,UGC 4300,Sharpless | UGC,NGC 3379,coordinate_match,Distance: 0.0000°
Sh2-121,PGC 3379,Sharpless | PGC,NGC 3379,coordinate_match,Distance: 0.0000°
M97,Sh2-123,Messier | Sharpless,Nébuleuse du Hibou,coordinate_match,Distance: 0.0714°
M108,Sh2-122,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0711°
M101,Sh2-150,Messier | Sharpless,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
M101,UGC 6700,Messier | UGC,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
M101,PGC 5457,Messier | PGC,Galaxie du Moulinet,coordinate_match,Distance: 0.0367°
Sh2-150,UGC 6700,Sharpless | UGC,NGC 5457,coordinate_match,Distance: 0.0000°
Sh2-150,PGC 5457,Sharpless | PGC,NGC 5457,coordinate_match,Distance: 0.0000°
M102,Sh2-151,Messier | Sharpless,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
M102,UGC 6800,Messier | UGC,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
M102,PGC 5866,Messier | PGC,Galaxie du Fuseau,coordinate_match,Distance: 0.0720°
Sh2-151,UGC 6800,Sharpless | UGC,NGC 5866,coordinate_match,Distance: 0.0000°
Sh2-151,PGC 5866,Sharpless | PGC,NGC 5866,coordinate_match,Distance: 0.0000°
M104,Sh2-140,Messier | Sharpless,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
M104,UGC 5700,Messier | UGC,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
M104,PGC 4594,Messier | PGC,Galaxie du Sombrero,coordinate_match,Distance: 0.0000°
Sh2-140,UGC 5700,Sharpless | UGC,NGC 4594,coordinate_match,Distance: 0.0000°
Sh2-140,PGC 4594,Sharpless | PGC,NGC 4594,coordinate_match,Distance: 0.0000°
M106,Sh2-127,Messier | Sharpless,Galaxie spirale,coordinate_match,Distance: 0.0000°
M106,UGC 4700,Messier | UGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
M106,PGC 4258,Messier | PGC,Galaxie spirale,coordinate_match,Distance: 0.0000°
Sh2-127,UGC 4700,Sharpless | UGC,NGC 4258,coordinate_match,Distance: 0.0000°
Sh2-127,PGC 4258,Sharpless | PGC,NGC 4258,coordinate_match,Distance: 0.0000°
M109,Sh2-126,Messier | Sharpless,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
M109,UGC 4600,Messier | UGC,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
M109,PGC 3992,Messier | PGC,Galaxie spirale barrée,coordinate_match,Distance: 0.0752°
Sh2-126,UGC 4600,Sharpless | UGC,NGC 3992,coordinate_match,Distance: 0.0000°
Sh2-126,PGC 3992,Sharpless | PGC,NGC 3992,coordinate_match,Distance: 0.0000°
C7,PGC 2403,Caldwell | PGC,Galaxie spirale,coordinate_match,Distance: 0.0167°
C17,Sh2-49,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-198,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-227,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-243,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-252,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C17,Sh2-301,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-49,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-198,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-227,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-243,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-252,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C49,Sh2-301,Caldwell | Sharpless,Nébuleuse de la Rosette,coordinate_match,Distance: 0.0000°
C21,PGC 4449,Caldwell | PGC,Galaxie irrégulière,coordinate_match,Distance: 0.0442°
C23,UGC 600,Caldwell | UGC,Galaxie du Couteau d'Argent,coordinate_match,Distance: 0.0920°
C23,PGC 891,Caldwell | PGC,Galaxie du Couteau d'Argent,coordinate_match,Distance: 0.0920°
Sh2-112,UGC 600,Sharpless | UGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-112,PGC 891,Sharpless | PGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-291,UGC 600,Sharpless | UGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-291,PGC 891,Sharpless | PGC,NGC 891,coordinate_match,Distance: 0.0920°
Sh2-194,UGC 3300,Sharpless | UGC,NGC 2392,coordinate_match,Distance: 0.0000°
Sh2-297,UGC 3300,Sharpless | UGC,NGC 2392,coordinate_match,Distance: 0.0000°
C52,UGC 185,Caldwell | UGC,Galaxie spirale,coordinate_match,Distance: 0.0556°
C52,PGC 253,Caldwell | PGC,Galaxie spirale,coordinate_match,Distance: 0.0556°
C77,PGC 5128,Caldwell | PGC,Galaxie du Centaure A,coordinate_match,Distance: 0.0910°
C80,PGC 5128,Caldwell | PGC,Galaxie du Centaure A,coordinate_match,Distance: 0.0910°
C107,Sh2-73,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0000°
C108,Sh2-72,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0838°
C108,Sh2-251,Caldwell | Sharpless,Amas globulaire,coordinate_match,Distance: 0.0838°
Sh2-216,UGC 1500,Sharpless | UGC,Nébuleuse de Californie,coordinate_match,Distance: 0.0000°
Sh2-77,UGC 90,Sharpless | UGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-77,PGC 147,Sharpless | PGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-256,UGC 90,Sharpless | UGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-256,PGC 147,Sharpless | PGC,NGC 147,coordinate_match,Distance: 0.0000°
Sh2-115,UGC 700,Sharpless | UGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-115,PGC 1023,Sharpless | PGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-294,UGC 700,Sharpless | UGC,NGC 1023,coordinate_match,Distance: 0.0000°
Sh2-294,PGC 1023,Sharpless | PGC,NGC 1023,coordinate_match,Distance: 0.0000°
UGC 15,PGC 23,UGC | PGC,NGC 23,coordinate_match,Distance: 0.0000°
UGC 35,PGC 55,UGC | PGC,NGC 55,coordinate_match,Distance: 0.0000°
PGC 2146,Abell 405,PGC | Abell,NGC 2146,coordinate_match,Distance: 0.0350°
M32,UGC 150,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.942°"
M32,PGC 205,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 8.1, Dist: 0.942°"
M110,UGC 165,Messier | UGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
M110,PGC 221,Messier | PGC,Galaxie elliptique naine,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
UGC 150,PGC 221,UGC | PGC,NGC 205,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
UGC 165,PGC 205,UGC | PGC,NGC 221,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.968°"
M33,PGC 598,Messier | PGC,Galaxie du Triangle,type_magnitude_match,"Type: Galaxy, Mag: 5.7, Dist: 0.108°"
C33,PGC 598,Caldwell | PGC,Galaxie du Triangle,type_magnitude_match,"Type: Galaxy, Mag: 5.7, Dist: 0.108°"
M42,Sh2-224,Messier | Sharpless,Grande Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.126°"
C42,Sh2-224,Caldwell | Sharpless,Nébuleuse d'Orion,type_magnitude_match,"Type: Emission Nebula, Mag: 4.0, Dist: 0.126°"
M87,UGC 5200,Messier | UGC,Galaxie elliptique géante,type_magnitude_match,"Type: Galaxy, Mag: 8.6, Dist: 0.123°"
M87,PGC 4486,Messier | PGC,Galaxie elliptique géante,type_magnitude_match,"Type: Galaxy, Mag: 8.6, Dist: 0.123°"
M94,UGC 6000,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 8.2, Dist: 0.141°"
M94,PGC 4736,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 8.2, Dist: 0.141°"
M58,UGC 5400,Messier | UGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.995°"
M58,UGC 5600,Messier | UGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.184°"
M58,PGC 4552,Messier | PGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.995°"
M58,PGC 4579,Messier | PGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.184°"
M89,UGC 5400,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.123°"
M89,UGC 5500,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.717°"
M89,UGC 5600,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.820°"
M89,PGC 4552,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.123°"
M89,PGC 4569,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.717°"
M89,PGC 4579,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.820°"
M90,UGC 5400,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.5, Dist: 0.787°"
M90,PGC 4552,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.5, Dist: 0.787°"
UGC 5400,PGC 4569,UGC | PGC,NGC 4552,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.787°"
UGC 5400,PGC 4579,UGC | PGC,NGC 4552,type_magnitude_match,"Type: Galaxy, Mag: 9.8, Dist: 0.882°"
UGC 5500,PGC 4552,UGC | PGC,NGC 4569,type_magnitude_match,"Type: Galaxy, Mag: 9.5, Dist: 0.787°"
UGC 5600,PGC 4552,UGC | PGC,NGC 4579,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.882°"
M64,UGC 6100,Messier | UGC,Galaxie de l'Œil Noir,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.697°"
M64,PGC 4826,Messier | PGC,Galaxie de l'Œil Noir,type_magnitude_match,"Type: Galaxy, Mag: 8.5, Dist: 0.697°"
M65,UGC 4400,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.123°"
M65,PGC 3623,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.123°"
M65,PGC 3628,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.619°"
M95,UGC 4100,Messier | UGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.245°"
M95,UGC 4200,Messier | UGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.503°"
M95,PGC 3351,Messier | PGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.245°"
M95,PGC 3368,Messier | PGC,Galaxie spirale barrée,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.503°"
M96,UGC 4100,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.743°"
M96,UGC 4300,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.767°"
M96,PGC 3351,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.743°"
M96,PGC 3379,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.767°"
M105,UGC 4200,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.788°"
M105,UGC 4300,Messier | UGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.183°"
M105,PGC 3368,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.788°"
M105,PGC 3379,Messier | PGC,Galaxie elliptique,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.183°"
UGC 4100,PGC 3368,UGC | PGC,NGC 3351,type_magnitude_match,"Type: Galaxy, Mag: 9.7, Dist: 0.743°"
UGC 4200,PGC 3351,UGC | PGC,NGC 3368,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.743°"
UGC 4200,PGC 3379,UGC | PGC,NGC 3368,type_magnitude_match,"Type: Galaxy, Mag: 9.2, Dist: 0.767°"
UGC 4300,PGC 3368,UGC | PGC,NGC 3379,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.767°"
UGC 4400,PGC 3628,UGC | PGC,NGC 3623,type_magnitude_match,"Type: Galaxy, Mag: 9.3, Dist: 0.556°"
M74,UGC 400,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.4, Dist: 0.121°"
M74,PGC 628,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 9.4, Dist: 0.121°"
M77,UGC 800,Messier | UGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 8.9, Dist: 0.126°"
M77,PGC 1068,Messier | PGC,Galaxie spirale,type_magnitude_match,"Type: Galaxy, Mag: 8.9, Dist: 0.126°"
M83,UGC 6500,Messier | UGC,Galaxie du Moulinet austral,type_magnitude_match,"Type: Galaxy, Mag: 7.6, Dist: 0.163°"
M83,PGC 5236,Messier | PGC,Galaxie du Moulinet austral,type_magnitude_match,"Type: Galaxy, Mag: 7.6, Dist: 0.163°"
M22,UGC 7600,Messier | UGC,Région de Sagittarius,constellation_proximity,"Constellation: Sagittarius, Distance: 0.115°"
M31,UGC 165,Messier | UGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
M31,PGC 221,Messier | PGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
M32,C31,Messier | Caldwell,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.405°"
M32,UGC 170,Messier | UGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
M32,PGC 224,Messier | PGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
C31,UGC 165,Caldwell | UGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
C31,PGC 221,Caldwell | PGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.404°"
UGC 165,PGC 224,UGC | PGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.403°"
UGC 170,PGC 221,UGC | PGC,Région de Andromeda,constellation_proximity,"Constellation: Andromeda, Distance: 0.403°"
M42,UGC 2700,Messier | UGC,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.126°"
M43,C42,Messier | Caldwell,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.122°"
M43,Sh2-51,Messier | Sharpless,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.117°"
M43,Sh2-224,Messier | Sharpless,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.212°"
M43,UGC 2700,Messier | UGC,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.212°"
C42,UGC 2700,Caldwell | UGC,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.126°"
Sh2-51,UGC 2700,Sharpless | UGC,Région de Orion,constellation_proximity,"Constellation: Orion, Distance: 0.125°"
M59,UGC 5900,Messier | UGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.499°"
M59,PGC 4649,Messier | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.499°"
M60,UGC 5800,Messier | UGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.441°"
M60,PGC 4621,Messier | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.441°"
M84,UGC 5000,Messier | UGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.195°"
M84,PGC 4406,Messier | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.195°"
M86,UGC 4800,Messier | UGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.252°"
M86,PGC 4374,Messier | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.252°"
UGC 4800,PGC 4406,UGC | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.252°"
UGC 5000,PGC 4374,UGC | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.252°"
UGC 5800,PGC 4649,UGC | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.499°"
UGC 5900,PGC 4621,UGC | PGC,Région de Virgo,constellation_proximity,"Constellation: Virgo, Distance: 0.499°"
M65,UGC 4500,Messier | UGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.379°"
M65,PGC 3627,Messier | PGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.379°"
M66,UGC 4400,Messier | UGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.262°"
M66,PGC 3623,Messier | PGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.262°"
UGC 4400,PGC 3627,UGC | PGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.262°"
UGC 4500,PGC 3623,UGC | PGC,Région de Leo,constellation_proximity,"Constellation: Leo, Distance: 0.262°"
M79,UGC 2500,Messier | UGC,Région de Lepus,constellation_proximity,"Constellation: Lepus, Distance: 0.116°"
